Critical Capabilities for Hyperconverged Infrastructure Software (G00742565)
Published: 17 Nov 2021
"© 2014 Gartner, Inc. and/or its affiliates. All rights reserved. Gartner is a registered trademark of Gartner, Inc. or its affiliates. This publication may not be reproduced or distributed in any form without Gartner's prior written permission. If you are authorized to access this publication, your use of it is subject to the Usage Guidelines for Gartner Services posted on gartner.com. The information contained in this publication has been obtained from sources believed to be reliable. Gartner disclaims all warranties as to the accuracy, completeness or adequacy of such information and shall have no liability for errors, omissions or inadequacies in such information. This publication consists of the opinions of Gartner's research organization and should not be construed as statements of fact. The opinions expressed herein are subject to change without notice. Although Gartner research may include a discussion of related legal issues, Gartner does not provide legal advice or services and its research should not be construed or used as such. Gartner is a public company, and its shareholders may include firms and funds that have financial interests in entities covered in Gartner research. Gartner's Board of Directors may include senior managers of these firms or funds. Gartner research is produced independently by its research organization without input or influence from these firms, funds or their managers. For further information on the independence and integrity of Gartner research, see "Guiding Principles on Independence and Objectivity."

This Critical Capabilities data constitutes Gartner's intellectual property.  Gartner prohibits any and all external use of this data which is intended to be used for internal use only within your enterprise.


Weightings for Critical Capabilities in Use Cases  
Use Cases / Critical Capabilities

Gartner ,Hardware,Hypervisors,Containers,Data Services,AI Functions,Management,Software Stack,Location,Scaling,Service and Support,Security
Hybrid Cloud,0.09,0.15,0.08,0.12,0.09,0.12,0.08,0.02,0.11,0.06,0.08
Cloud-Native,0.07,0.03,0.13,0.11,0.13,0.11,0.12,0.06,0.11,0.06,0.07
Edge,0.09,0.04,0.02,0.06,0.04,0.18,0.08,0.26,0.02,0.06,0.15
VDI,0.07,0.12,0.01,0.11,0.04,0.13,0.10,0.15,0.10,0.08,0.09

Custom


Product Ratings on Critical Capabilities
Vendors / Critical Capabilities

Huayun Data Group,2.8,3.5,3.2,3.5,3,3.5,3.2,2.8,4.8,3.2,3.2
Microsoft,4,4.6,4.3,4.4,2.1,3.8,4.9,4.4,4.4,3.7,4.3
Nutanix,4.6,4.7,4.3,5,4.5,4.8,4.6,3,4.8,4.8,4.6
Quantum,3.8,3.2,3,3.5,3.4,4,3.5,3,3.8,3.4,3.5
Sangfor Technologies,2.8,3.7,3.3,3,3,3,3.6,2.8,3.8,3.4,4.1
Scale Computing,2.7,3.6,3.3,3.2,2.5,3.5,3.3,4.4,4.2,4.1,3.2
StarWind,2.7,3.5,3.2,3.3,3,3.2,3.2,4,4.3,2.4,3.8
StorMagic,2.6,3.4,3.2,2.5,2,2.6,3.1,4.9,3,3.9,4
VMware,4.3,4.9,4.3,4.8,4.5,4.6,4.8,3.2,4.8,4.6,4.6


Product Scores in Use Cases
Vendors / Use Cases
,Hybrid Cloud,Cloud-Native,Edge,VDI
Huayun Data Group,3.43,3.37,3.17,3.37
Microsoft,4.1,4.01,4.15,4.21
Nutanix,4.66,4.56,4.25,4.47
Quantum,3.51,3.49,3.46,3.49
Sangfor Technologies,3.36,3.3,3.22,3.31
Scale Computing,3.39,3.38,3.59,3.59
StarWind,3.33,3.32,3.44,3.42
StorMagic,3.02,3.03,3.55,3.33
VMware,4.62,4.52,4.24,4.46
